event,is_goal,period,time,distance,angle,is_rebound,is_pass_before,is_cross_line,is_one_touch,is_fast_attack
Shot Attempt - Deflected,false,1,29.8,23.8,59.165384750768226,false,false,false,false,false
Shot Attempt - Blocked,false,1,162.9,22.4,57.79587107933759,false,false,false,false,false
Shot Attempt - Blocked,false,2,733.5,4.6,24.67686317033706,false,false,false,false,false
Shot Attempt - Blocked,false,1,212.6,19.3,66.84139257791674,false,false,false,false,false
Shot Attempt - Blocked,false,3,859.7,19.4,63.1627618941849,false,false,false,false,false
Shot Attempt - Deflected,true,3,1178.7,29.4,68.42009371237997,false,false,false,false,true
Shot Attempt - Over the net,false,1,48.8,11.4,3.1188014411727876,false,false,true,false,true
Shot Attempt - Upper left,true,1,163.0,4.1,11.309932474020213,true,false,true,true,false
Shot Attempt - Wide left,false,1,318.9,9.3,3.3262692223227344,false,false,false,false,false
Shot Attempt - Blocked,false,1,331.6,14.9,2.2025981617658053,false,false,false,true,false
Shot Attempt - Deflected,false,2,1045.4,13.1,25.463345061871614,false,false,false,false,false
Shot Attempt - Wide right,false,1,1157.7,21.3,59.03624346792648,false,false,false,false,true
Shot Attempt - Deflected,false,1,275.1,22.2,59.45242825109298,false,false,false,false,false
Shot Attempt - Blocked,false,1,1089.6,21.0,5.332158881659557,false,false,false,false,false
Shot Attempt - Wide right,false,2,81.2,22.4,4.593384463008824,false,false,false,false,false
Shot Attempt - Wide left,false,3,860.7,23.8,54.90418321297388,false,false,false,false,false
Shot Attempt - Lower right,false,2,139.4,13.0,3.667788055531429,false,false,false,false,false
Shot Attempt - Blocked,false,2,263.4,13.0,2.495928328617228,false,true,false,true,false
Shot Attempt - Upper left,true,2,308.4,11.9,11.121460194890352,false,false,false,false,false
Shot Attempt - Deflected,false,1,945.8,24.0,55.19346908709174,false,false,false,false,false
Shot Attempt - Blocked,false,2,972.9,13.5,3.261190433689013,false,false,false,false,false
Shot Attempt - Upper left,false,2,1097.1,10.4,2.4592689008187465,false,false,true,false,false
Shot Attempt - Wide right,false,3,33.2,27.4,24.613446624122616,false,false,true,false,false
Shot Attempt - Wide left,false,3,466.3,8.5,7.78701795463245,false,false,false,true,false
Shot Attempt - Blocked,false,3,680.7,12.4,2.74027081971135,false,false,false,true,false
Shot Attempt - Blocked,false,3,936.3,15.8,7.016501744722909,false,false,false,false,false
Shot Attempt - Wide left,false,3,944.8,15.6,8.573864578435016,false,false,false,false,true
Shot Attempt - Blocked,false,3,1164.8,21.4,4.374363216727754,false,false,false,true,false
Shot Attempt - Blocked,false,3,1170.3,19.8,5.823704405917951,false,false,false,false,false
Shot Attempt - Deflected,false,1,22.5,21.2,64.68031308969036,false,false,false,false,false
Shot Attempt - Deflected,false,2,289.1,19.1,65.85445803957835,false,false,false,false,false
Shot Attempt - Blocked,false,3,201.2,17.7,56.87626440375961,false,false,false,false,false
Shot Attempt - Wide left,false,1,34.5,19.9,61.29404745659892,false,false,false,false,false
Shot Attempt - Deflected,false,1,339.3,15.4,39.23211110208586,false,false,false,false,false
Shot Attempt - Top middle,false,1,376.9,14.3,7.825471823027528,false,false,true,false,true
